b'Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,2.800000,2.815000,2.765000,2.780000,2.522340,275661
2019-04-17,2.790000,2.790000,2.760000,2.770000,2.513267,714043
2019-04-18,2.770000,2.795000,2.750000,2.780000,2.522340,592531
2019-04-23,2.770000,2.780000,2.740000,2.740000,2.486047,665220
2019-04-24,2.740000,2.790000,2.740000,2.750000,2.495121,887927
2019-04-26,2.750000,2.770000,2.720000,2.720000,2.467901,856503
2019-04-29,2.735000,2.755000,2.705000,2.750000,2.495121,635448
2019-04-30,2.730000,2.750000,2.670000,2.685000,2.436145,819674
2019-05-01,2.690000,2.735000,2.690000,2.715000,2.463364,283874
2019-05-02,2.700000,2.800000,2.700000,2.800000,2.540486,1936587
2019-05-03,2.800000,2.810000,2.760000,2.800000,2.540486,425970
2019-05-06,2.800000,2.800000,2.730000,2.750000,2.495121,662850
2019-05-07,2.730000,2.755000,2.720000,2.740000,2.486047,315184
2019-05-08,2.760000,2.760000,2.725000,2.735000,2.481511,1648885
2019-05-09,2.735000,2.785000,2.735000,2.780000,2.522340,709091
2019-05-10,2.780000,2.795000,2.750000,2.760000,2.504194,681868
2019-05-13,2.780000,2.780000,2.740000,2.750000,2.495121,755359
2019-05-14,2.725000,2.760000,2.715000,2.715000,2.463364,231944
2019-05-15,2.730000,2.750000,2.720000,2.720000,2.467901,492968
2019-05-16,2.745000,2.750000,2.715000,2.720000,2.467901,475140
2019-05-17,2.750000,2.755000,2.720000,2.730000,2.476974,384635
2019-05-20,2.725000,2.770000,2.725000,2.770000,2.513267,593922
2019-05-21,2.750000,2.770000,2.730000,2.735000,2.481511,366996
2019-05-22,2.730000,2.760000,2.715000,2.760000,2.504194,535781
2019-05-23,2.720000,2.750000,2.720000,2.725000,2.472437,479211
2019-05-24,2.720000,2.750000,2.715000,2.720000,2.467901,226320
2019-05-27,2.720000,2.745000,2.700000,2.710000,2.458828,734635
2019-05-28,2.705000,2.705000,2.650000,2.650000,2.404389,1398580
2019-05-29,2.640000,2.640000,2.600000,2.635000,2.390779,1385830
2019-05-30,2.615000,2.625000,2.540000,2.580000,2.340877,1510928
2019-05-31,2.590000,2.620000,2.575000,2.600000,2.359023,971638
2019-06-04,2.580000,2.580000,2.550000,2.565000,2.327267,388210
2019-06-05,2.565000,2.600000,2.565000,2.580000,2.340877,261846
2019-06-06,2.570000,2.590000,2.550000,2.570000,2.331803,1567302
2019-06-07,2.560000,2.580000,2.550000,2.550000,2.313657,413692
2019-06-10,2.560000,2.595000,2.560000,2.570000,2.331803,170556
2019-06-11,2.600000,2.635000,2.600000,2.610000,2.368096,1676348
